Posted Date,Reference Number,Payee,Address,Amount
09/21/2024,                       ,"INTEREST CHARGED ON PURCHASES","",-72.61
09/21/2024,24036294265712289202803,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-81.40
09/20/2024,                       ,"LATE FEE FOR PAYMENT DUE","",-39.00
09/20/2024,24692164263105982951937,"Amazon Prime*HE5F93MD3 Amzn.com/billWA","Amzn.com/bill WA ",-16.15
09/17/2024,24692164260103001183908,"AMAZON MKTPL*Z76GZ90W3 Amzn.com/billWA","Amzn.com/bill WA ",-33.70
09/16/2024,24037244259900011503471,"COYOTE GRILL LAGUNA BEACH CA","LAGUNA BEACH  CA ",-31.18
09/16/2024,24492154259715310890612,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-103.89
09/16/2024,24692164258101765238730,"Prime Video *533JM9IR3 888-802-3080 WA","888-802-3080  WA ",-5.99
09/11/2024,74204294254001571920049,"VFS Services USA Inc. 101-23456789 DC","101-23456789  DC ",178.00
09/10/2024,24204294254000104716044,"VFS Services USA Inc. 101-23456789 DC","101-23456789  DC ",-251.39
09/09/2024,24692164251105453884827,"AMAZON MKTPL*ZT89L4BT1 Amzn.com/billWA","Amzn.com/bill WA ",-48.48
09/06/2024,24071054249627183445180,"INTECORE PHYSICAL THER 949-7164548 CA","949-7164548   CA ",-11.10
09/05/2024,24692164249103486733330,"AMAZON MKTPL*ZT8AD9AW1 Amzn.com/billWA","Amzn.com/bill WA ",-82.30
09/04/2024,24492164248000011577500,"ECOMM TAX SERVICE WWW.ECOMMTAXSWY","WWW.ECOMMTAXS WY ",-99.00
09/04/2024,24011344247000097265153,"AMAZON MARK* ZT58K2CS0 HTTPSAMAZON.CWA","HTTPSAMAZON.C WA ",-78.53
09/04/2024,24692164247102122531050,"AMAZON MKTPL*ZT41Q21J2 Amzn.com/billWA","Amzn.com/bill WA ",-24.82
09/04/2024,24692164247101983002953,"AMAZON MKTPL*RK0KO0W10 Amzn.com/billWA","Amzn.com/bill WA ",-21.44
09/04/2024,24011344247000064902929,"AMAZON MARK* RK4D01YT0 HTTPSAMAZON.CWA","HTTPSAMAZON.C WA ",-23.69
09/03/2024,24492164247000015045927,"KHAN ACADEMY HTTPSWWW.KHANCA","HTTPSWWW.KHAN CA ",-4.00
09/02/2024,24692164245100594465981,"Amazon.com*ZT1RG74Q2 Amzn.com/billWA","Amzn.com/bill WA ",-5.99
09/02/2024,24692164245100589337542,"Amazon.com*ZT2GI14A2 Amzn.com/billWA","Amzn.com/bill WA ",-4.98
09/02/2024,24692164245100588764647,"Amazon.com*RK3465QH0 Amzn.com/billWA","Amzn.com/bill WA ",-142.14
09/02/2024,24692164245100326593928,"AMAZON MKTPL*RK8Z48631 Amzn.com/billWA","Amzn.com/bill WA ",-23.55
08/31/2024,74332744244424340070536,"FOREIGN TRANSACTION FEE","",-46.17
08/31/2024,74332744244424340070536,"EMIRATES MUMBAI","",-1539.33
08/31/2024,24071054243627192274270,"INTECORE PHYSICAL THER 949-7164548 CA","949-7164548   CA ",-11.10
08/30/2024,24007044243920021015992,"EMIRATES 62377875946-2800-7773999 NY","800-7773999   NY ",-4230.48
08/30/2024,24755424242292428939813,"SOUTH ORANGE COUNTY SURGI949-4577900 CA","949-4577900   CA ",-1012.48
08/30/2024,24011344242000082364701,"AMAZON MARK* RK2NL1JQ1 HTTPSAMAZON.CWA","HTTPSAMAZON.C WA ",-15.09
08/30/2024,24692164242100828499007,"Amazon.com*RK06M33Z0 Amzn.com/billWA","Amzn.com/bill WA ",-50.52
08/30/2024,24011344242000061030489,"AMAZON MARK* RK3HG06G2 HTTPSAMAZON.CWA","HTTPSAMAZON.C WA ",-86.19
08/27/2024,24002844240000311182496,"Netflix 1 8445052993 CA","1 8445052993  CA ",-22.99
08/26/2024,24204294237001116358041,"VFS Services USA Inc. 101-23456789 DC","101-23456789  DC ",-251.39
08/24/2024,24692164237106379933556,"Prime Video *R49927P41 888-802-3080 WA","888-802-3080  WA ",-0.99
08/24/2024,24071054236627185464689,"INTECORE PHYSICAL THER 949-7164548 CA","949-7164548   CA ",-11.10
08/24/2024,24692164236105834813529,"AMAZON MKTPL*R44V04262 Amzn.com/billWA","Amzn.com/bill WA ",-35.62
08/23/2024,24011344235000108964921,"AMAZON RETA* R46V023N1 WWW.AMAZON.COWA","WWW.AMAZON.CO WA ",-87.28
